,scores,duration,Frames,Prompt,model
2,10,61.12117409706116,15,"
You are an expert A",gemma3:12b
3,10,75.33893203735352,15,"
You are an expert A",gemma3:12b
4,10,68.58987283706665,15,"
You are an expert A",gemma3:12b
5,10,76.06621503829956,15,"
You are an expert A",gemma3:12b
6,10,75.19757509231567,15,"
You are an expert A",gemma3:12b
0,7,38.64693307876587,15,"
You are an expert A",llava:7b
1,1,43.425270080566406,15,"
You are an expert A",llava:7b
2,10,54.19178295135498,15,"
You are an expert A",llava:7b
3,1,45.54995679855347,15,"
You are an expert A",llava:7b
4,1,19.11977195739746,15,"
You are an expert A",llava:7b
5,1,44.73120093345642,15,"
You are an expert A",llava:7b
6,1,32.168989181518555,15,"
You are an expert A",llava:7b
0,,27.155206203460693,15,"
You are an elite Ol",qwen2.5vl:7b
1,8,69.8529212474823,15,"
You are an elite Ol",qwen2.5vl:7b
2,2,79.8576889038086,15,"
You are an elite Ol",qwen2.5vl:7b
3,,74.20622372627258,15,"
You are an elite Ol",qwen2.5vl:7b
4,8,71.20185399055481,15,"
You are an elite Ol",qwen2.5vl:7b
5,,74.63252401351929,15,"
You are an elite Ol",qwen2.5vl:7b
6,,41.89009404182434,15,"
You are an elite Ol",qwen2.5vl:7b
0,7,86.55863380432129,15,"
You are an elite Ol",gemma3:12b
1,8,80.39404630661011,15,"
You are an elite Ol",gemma3:12b
2,7,62.83122801780701,15,"
You are an elite Ol",gemma3:12b
3,7,74.34196400642395,15,"
You are an elite Ol",gemma3:12b
4,9,69.18007016181946,15,"
You are an elite Ol",gemma3:12b
5,6,81.77713108062744,15,"
You are an elite Ol",gemma3:12b
6,6,74.21242809295654,15,"
You are an elite Ol",gemma3:12b
0,7,36.90954923629761,15,"
You are an elite Ol",llava:7b
1,7,41.294217109680176,15,"
You are an elite Ol",llava:7b
2,7,61.945870876312256,15,"
You are an elite Ol",llava:7b
3,7,38.322633028030396,15,"
You are an elite Ol",llava:7b
4,7,33.46647882461548,15,"
You are an elite Ol",llava:7b
5,6,73.73297309875488,15,"
You are an elite Ol",llava:7b
6,7,40.647879123687744,15,"
You are an elite Ol",llava:7b
0,9,107.47959113121033,15,"
You are a discus co",qwen2.5vl:7b
1,7,115.87833714485168,15,"
You are a discus co",qwen2.5vl:7b
2,2,125.86223888397217,15,"
You are a discus co",qwen2.5vl:7b
3,,134.29211330413818,15,"
You are a discus co",qwen2.5vl:7b
4,7,115.78334403038025,15,"
You are a discus co",qwen2.5vl:7b
5,,43.943429946899414,15,"
You are a discus co",qwen2.5vl:7b
6,,43.71911978721619,15,"
You are a discus co",qwen2.5vl:7b
0,6,86.21316385269165,15,"
You are a discus co",gemma3:12b
1,6,76.09064292907715,15,"
You are a discus co",gemma3:12b
2,5,53.46236491203308,15,"
You are a discus co",gemma3:12b
3,5,73.50582098960876,15,"
You are a discus co",gemma3:12b
4,5,67.23608303070068,15,"
You are a discus co",gemma3:12b
5,4,75.55709600448608,15,"
You are a discus co",gemma3:12b
6,4,75.10059905052185,15,"
You are a discus co",gemma3:12b
0,7,36.10166096687317,15,"
You are a discus co",llava:7b
1,7,43.3162899017334,15,"
You are a discus co",llava:7b
2,1,63.281867027282715,15,"
You are a discus co",llava:7b
3,4,39.240171909332275,15,"
You are a discus co",llava:7b
4,7,40.213890075683594,15,"
You are a discus co",llava:7b
5,4,34.90023398399353,15,"
You are a discus co",llava:7b
6,4,38.177468061447144,15,"
You are a discus co",llava:7b
0,,47.742510080337524,15,"
You are an AI sport",qwen2.5vl:7b
1,7,68.14084506034851,15,"
You are an AI sport",qwen2.5vl:7b
2,4,72.78065276145935,15,"
You are an AI sport",qwen2.5vl:7b
3,,72.49019598960876,15,"
You are an AI sport",qwen2.5vl:7b
4,7,67.72259712219238,15,"
You are an AI sport",qwen2.5vl:7b
5,,41.26325726509094,15,"
You are an AI sport",qwen2.5vl:7b
6,,41.26899075508118,15,"
You are an AI sport",qwen2.5vl:7b
0,6,91.49502682685852,15,"
You are an AI sport",gemma3:12b
1,6,75.83484506607056,15,"
You are an AI sport",gemma3:12b
2,5,74.53039383888245,15,"
You are an AI sport",gemma3:12b
3,6,68.84290480613708,15,"
You are an AI sport",gemma3:12b
4,6,75.2335410118103,15,"
You are an AI sport",gemma3:12b
5,5,72.95252990722656,15,"
You are an AI sport",gemma3:12b
6,5,69.13847398757935,15,"
You are an AI sport",gemma3:12b
0,7,40.4704270362854,15,"
You are an AI sport",llava:7b
1,7,60.78232407569885,15,"
You are an AI sport",llava:7b
2,7,38.570598125457764,15,"
You are an AI sport",llava:7b
3,4,22.355602264404297,15,"
You are an AI sport",llava:7b
4,7,41.093571186065674,15,"
You are an AI sport",llava:7b
5,4,28.26004385948181,15,"
You are an AI sport",llava:7b
6,4,37.60340094566345,15,"
You are an AI sport",llava:7b
0,2,48.063740253448486,15,"
You are a brutally ",qwen2.5vl:7b
1,7,68.7741391658783,15,"
You are a brutally ",qwen2.5vl:7b
2,8,75.22120213508606,15,"
You are a brutally ",qwen2.5vl:7b
3,,74.46892881393433,15,"
You are a brutally ",qwen2.5vl:7b
4,7,36.23010516166687,15,"
You are a brutally ",qwen2.5vl:7b
5,10,41.91985630989075,15,"
You are a brutally ",qwen2.5vl:7b
6,8,42.08279991149902,15,"
You are a brutally ",qwen2.5vl:7b
0,6,91.8245050907135,15,"
You are a brutally ",gemma3:12b
1,6,63.091132164001465,15,"
You are a brutally ",gemma3:12b
2,4,74.86705112457275,15,"
You are a brutally ",gemma3:12b
3,5,69.0706160068512,15,"
You are a brutally ",gemma3:12b
4,6,75.71634197235107,15,"
You are a brutally ",gemma3:12b
5,4,74.40147995948792,15,"
You are a brutally ",gemma3:12b
6,4,69.4245376586914,15,"
You are a brutally ",gemma3:12b
0,7,41.22435522079468,15,"
You are a brutally ",llava:7b
1,7,73.04728603363037,15,"
You are a brutally ",llava:7b
2,7,30.081730842590332,15,"
You are a brutally ",llava:7b
3,7,35.18631386756897,15,"
You are a brutally ",llava:7b
4,7,40.74173593521118,15,"
You are a brutally ",llava:7b
5,5,20.62450885772705,15,"
You are a brutally ",llava:7b
6,7,43.67948389053345,15,"
You are a brutally ",llava:7b
